id,title,director,actors,genre,description,year
4892,"Angus, Thongs and Perfect Snogging",Gurinder Chadha,"Georgia Groome, Aaron Taylor-Johnson, Karen Taylor, Alan Davies, Eleanor Tomlinson, Georgia Henshaw, Manjeeven Grewal, Kimberley Nixon, Sean Bourke, Tommy Bastow, Liam Hess, Eva Drew, Steve Jones, Imogen Bain, Ingrid Oliver","Comedy, Drama, Romance","The story centers on a 14-year-old girl who keeps a diary about the ups and downs of being a teenager, including the things she learns about kissing.",2008
4893,The Sorcerer's Apprentice,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Toby Kebbell, Omar Benson Miller, Monica Bellucci, Alice Krige, Jake Cherry, James A. Stephens, Gregory Woo, Wai Ching Ho, Jason R. Moore, Robert Capron, Peyton List","Action, Adventure, Family",Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana la Fée.,2010
4894,Tetro,Francis Ford Coppola,"Vincent Gallo, Alden Ehrenreich, Maribel Verdú, Silvia Pérez, Rodrigo De la Serna, Erica Rivas, Mike Amigorena, Lucas Di Conza, Adriana Mastrángelo, Klaus Maria Brandauer, Leticia Brédice, Sofía Gala, Jean-François Casanovas, Carmen Maura, Francesca De Sapio",Drama,"Bennie travels to Buenos Aires to find his long-missing older brother, a once-promising writer who is now a remnant of his former self. Bennie's discovery of his brother's near-finished play might hold the answer to understanding their shared past and renewing their bond.",2009
4895,Fashion,Madhur Bhandarkar,"Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arbaaz Khan, Arjan Bajwa, Raj Babbar, Kiran Juneja, Samir Soni, Kitu Gidwani, Suchitra Pillai, Harsh Chhaya, Ashwin Mushran, Pradeep Kharab, Rinku Patel, Chitrashi Rawat",Drama,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds out that there's a price for her glamorous new life.,2008
4896,The Fighter,David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, Mickey O'Keefe, Jack McGee, Melissa McMeekin, Bianca Hunter, Erica McDermott, Jill Quigg, Dendrie Taylor, Kate B. O'Brien, Jenna Lamia, Frank Renzulli, Paul Campbell","Biography, Drama, Sport","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",2010
4897,Pathology,Marc Schölermann,"Milo Ventimiglia, Michael Weston, Alyssa Milano, Lauren Lee Smith, Johnny Whitworth, John de Lancie, Mei Melançon, Keir O'Donnell, Buddy Lewis, Dan Callahan, Larry Drake, Med Abrous, Alan Blumenfeld, Gary Buckner, Jeb Burris","Crime, Horror, Thriller",A group of medical students devise a deadly game: to see which one of them can commit the perfect murder.,2008
4898,Skin,Anthony Fabian,"Sophie Okonedo, Sam Neill, Alice Krige, Tony Kgoroge, Ella Ramangwane, Terri Ann Eckstein, Bongani Masondo, Dan Robbertse, Jeremy Crutchley, Jonathan Taylor, Nomathamsanga Baleka, Valesika Smith, Faniswa Yisa, Hannes Brummer, Zamanthebe Sithebe","Biography, Drama",Based on the true story of a black girl who was born to two white Afrikaner parents in South Africa during the apartheid era.,2008
4899,The Conspirator,Robert Redford,"James McAvoy, Robin Wright, Kevin Kline, Evan Rachel Wood, Tom Wilkinson, Justin Long, Danny Huston, James Badge Dale, Colm Meaney, Alexis Bledel, Johnny Simmons, Toby Kebbell, Jonathan Groff, Stephen Root, John Cullum","Crime, Drama, History","Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life.",2010
4900,San taam,"Johnnie To, Ka-Fai Wai","Ching Wan Lau, Andy On, Ka Tung Lam, Kelly Lin, Kwok-Lun Lee, Choi-ning Lee, Flora Chan, Siu-Fai Cheung, Suet Lam, Jay Lau, Eddy Ko, Jo Kuk, Ling To Yuen, Jonathan Yat-Sing Lee, Ronald Yan","Action, Crime, Mystery",A rookie cop teams up with a former detective with a supernatural gift to hunt down a serial killer.,2007
4901,Hugo,Martin Scorsese,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour, Richard Griffiths, Jude Law, Kevin Eldon, Gulliver McGrath, Shaun Aylward","Drama, Family, Fantasy","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",2011
4902,City of Ember,Gil Kenan,"Saoirse Ronan, David Ryall, Harry Treadaway, Mary Kay Place, Tim Robbins, Bill Murray, Mackenzie Crook, Toby Jones, Liam Burke, Brid Ni Chionaola, Maureen Dow, Lucinda Dryzek, Lorraine Hilton, B.J. Hogg, Marianne Jean-Baptiste","Adventure, Family, Fantasy","For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing ... and the great lamps that illuminate the city are starting to flicker.",2008
4903,Solomon Kane,M.J. Bassett,"James Purefoy, Mark O'Neal, Robert Orr, Richard Ryan, Frantisek Deak, Christian Dunckley Clark, Ian Whyte, Thomas McEnchroe, Andrew Whitlaw, Robert Russell, James Babson, Marek Vasut, Geoff Bell, Max von Sydow, Lucas Stone","Action, Adventure, Crime","A ruthless mercenary renounces violence after learning his soul is bound for hell. When a young girl is kidnapped and her family slain by a sorcerer's murderous cult, he is forced to fight and seek his redemption slaying evil.",2009
4904,Miss Pettigrew Lives for a Day,Bharat Nalluri,"Amy Adams, David Alexander, Clare Clifford, Christina Cole, Stephanie Cole, Beatie Edney, Shirley Henderson, Ciarán Hinds, Sarah Kants, Sally Leonard, Frances McDormand, Katy Murphy, Lee Pace, Tom Payne, Tim Potter","Comedy, Romance","Guinevere Pettigrew, a middle-aged London governess, finds herself unfairly dismissed from her job. An attempt to gain new employment catapults her into the glamorous world and dizzying social whirl of an American actress and singer, Delysia Lafosse.",2008
4905,A Perfect Getaway,David Twohy,"Steve Zahn, Timothy Olyphant, Milla Jovovich, Kiele Sanchez, Marley Shelton, Chris Hemsworth, Anthony Ruivivar, Dale Dickey, Peter Navy Tuiasosopo, Wendy Braun, Jim Cruz, Angela Sun, Leandra Gillis, Amit Yogev, Carlos Alberto Lopez","Action, Adventure, Drama",Two pairs of lovers on a Hawaiian vacation discover that psychopaths are stalking and murdering tourists on the islands.,2009
4906,Red,"Trygve Allister Diesen, Lucky McKee","Brian Cox, Noel Fisher, Kyle Gallner, Shiloh Fernandez, Kim Dickens, Marcia Bennett, Richard Riehle, Tom Sizemore, Ashley Laurence, Robert Englund, Amanda Plummer, Keith Buterbaugh, Jack Ketchum, Delaney Williams, Tate Ellington","Drama, Thriller",A reclusive man sets out for justice and redemption when three troublesome teens kill his dog for no good reason.,2008
4907,Creation,Jon Amiel,"Paul Bettany, Ian Kelly, Guy Henry, Martha West, Anabolena Rodriguez, Paul Campbell, Zak Davies, Teresa Churcher, Jennifer Connelly, Freya Parks, Jim Carter, Christopher Dunkin, Gene Goodman, Harrison Sansostri, Benedict Cumberbatch","Biography, Drama, Romance","Torn between faith and science, and suffering hallucinations, English naturalist Charles Darwin struggles to complete 'On the Origin of Species' and maintain his relationship with his wife.",2009
4908,Justice League,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ezra Miller, Jason Momoa, Ray Fisher, Jeremy Irons, Diane Lane, Connie Nielsen, J.K. Simmons, Ciarán Hinds, Amber Heard, Joe Morton, Lisa Loven Kongsli","Action, Adventure, Fantasy","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",2017
4909,Elegy,Isabel Coixet,"Penélope Cruz, Ben Kingsley, Dennis Hopper, Patricia Clarkson, Peter Sarsgaard, Debbie Harry, Charlie Rose, Antonio Cupo, Michelle Harrison, Sonja Bennett, Emily Holmes, Chelah Horsdal, Marci T. House, Alessandro Juliani, Tiffany Lyndall-Knight","Drama, Romance","Cultural critic David Kepesh finds his life, which he indicates is a state of ""emancipated manhood"", thrown into tragic disarray by Consuela Castillo, a well-mannered student who awakens a sense of sexual possessiveness in her teacher.",2008
4910,17 Again,Burr Steers,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry, Tyler Steelman, Allison Miller, Sterling Knight, Michelle Trachtenberg, Adam Gregory, Hunter Parrish, Mario Cassem, Kat Graham, Tiya Sircar, Melissa Ordway, Melora Hardin","Comedy, Drama, Fantasy",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,2009
4911,Hitchcock,Sacha Gervasi,"Anthony Hopkins, Helen Mirren, Scarlett Johansson, Danny Huston, Toni Collette, Michael Stuhlbarg, Michael Wincott, Jessica Biel, James D'Arcy, Richard Portnow, Kurtwood Smith, Ralph Macchio, Kai Lennox, Tara Summers, Wallace Langham","Biography, Comedy, Drama",The relationship between,2012
4912,The Reader,Stephen Daldry,"Ralph Fiennes, Jeanette Hain, David Kross, Kate Winslet, Susanne Lothar, Alissa Wilms, Florian Bartholomäi, Friederike Becht, Matthias Habich, Frieder Venus, Marie-Anne Fliegel, Hendrik Arnst, Rainer Sellien, Torsten Michaelis, Moritz Grove","Drama, Romance","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",2008
4913,Tokyo!,"Leos Carax, Michel Gondry","Ayako Fujitani, Ryô Kase, Ayumi Itô, Nao Ohmori, Satoshi Tsumabuki, Ken Mitsuishi, Yuno Iriguchi, Rie Minemura, Ben Himura, Kenjirô Ishimaru, Taijirô Tamura, Junya Asô, Mayu Harada, Motomi Makiguchi, Hiroko Ninomiya","Comedy, Drama, Fantasy",A cinematic triptych of three Tokyo-set stories.,2008
4914,Bandslam,Todd Graff,"Aly Michalka, Vanessa Hudgens, Gaelan Connell, Scott Porter, Ryan Donowho, Charlie Saxton, Lisa Kudrow, Tim Jo, Elvy Yost, Lisa Chung, J.W. Wright, Blair Bomar, Casey Williams, Maggie Maye, Jennifer Blair","Comedy, Drama, Family","A new kid in town assembles a fledgling rock band -- together, they achieve their dreams and compete against the best in the biggest event of the year, a battle of the bands.",2009
4915,Fair Game,Doug Liman,"Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari, Stephanie Chai, Sean Penn, Ty Burrell, Jessica Hecht, Norbert Leo Butz, Rebecca Rigg, Brooke Smith, Tom McCarthy, Ashley Gerasimovich, Quinn Broggy, Nicholas Sadler","Biography, Drama, Thriller",CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,2010
4916,Mutluluk,Abdullah Oguz,"Talat Bulut, Özgü Namal, Murat Han, Mustafa Avkiran, Emin Gürsoy, Sebnem Köstem, Meral Çetinkaya, Erol Babaoglu, Lale Mansur, Emel Göksu, Alpay K. Atalan, Leyla Basak, Ali Ciftel, Ugur Izgi, Sevgi Onat",Drama,"Condemned to death to salvage her family's honor, a young rape victim escapes to a seaside town with the man tasked with her execution.",2007
4917,Frozen River,Courtney Hunt,"Melissa Leo, Misty Upham, Charlie McDermott, Michael O'Keefe, Mark Boone Junior, James Reilly, Jay Klaitz, John Canoe, Dylan Carusona, Michael Skye, Gargi Shinde, Rajesh Bose, Azin Jahanbakhsh, Jack Phillips, James Phillips","Crime, Drama","A mom looks for another source of income, when her husband leaves with the money meant for the new mobile home. A nearby Indian territory stretches across the border to Canada with a drivable frozen river between. Smugling?",2008
4918,Mary and Max,Adam Elliot,"Christopher Massey, Oliver Marks, Daisy Kocher, Daniel Marks, Hamish Hughes, Dan Doherty, Julie Forsyth, Mandy Mao, Eric Bana, Patrick McCabe, Adam Elliot, Mr. Peck, Michael James Allen, Bill Murphy, Shaun Patten","Animation, Comedy, Drama","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",2009
4919,Sucker Punch,Zack Snyder,"Emily Browning, Abbie Cornish, Jena Malone, Vanessa Hudgens, Jamie Chung, Carla Gugino, Oscar Isaac, Jon Hamm, Scott Glenn, Richard Cetrone, Gerard Plunkett, Malcolm Scott, Ron Selmour, A.C. Peterson, Revard Dufresne","Action, Adventure, Fantasy","A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.",2011
4920,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Gary Sweet, Terry Norris, Bruce Spence, Bille Brown, Laura Brent, Colin Moody, Tilda Swinton, Anna Popplewell, William Moseley, Shane Rangi, Arthur Angel","Adventure, Family, Fantasy","Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",2010
4921,The Lucky Ones,Neil Burger,"Rachel McAdams, Tim Robbins, Michael Peña, Molly Hagan, Mark L. Young, Howard Platt, Arden Myrin, Coburn Goss, John Heard, Jennifer Joan Taylor, Katherine LaNasa, Leo Ford, Susan Yeagley, Emily Swallow, John Diehl","Comedy, Drama, War",Three different soldiers - a woman and two men - return from the war and facing the peaceful life's problems of each other.,2008
4922,Nick and Norah's Infinite Playlist,Peter Sollett,"Michael Cera, Kat Dennings, Aaron Yoo, Rafi Gavron, Ari Graynor, Alexis Dziena, Jonathan B. Wright, Zachary Booth, Jay Baruchel, Justin Rice, Christian Rudder, Giorgio Angelini, Darbie Nowatka, Cully Symington, Jeremy Haines","Comedy, Drama, Music","High school student Nick O'Leary, member of the Queercore band The Jerk Offs, meets college-bound Norah Silverberg when she asks him to be her boyfriend for five minutes.",2008
4923,The Adventures of Tintin,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost, Simon Pegg, Daniel Mays, Gad Elmaleh, Toby Jones, Joe Starr, Enn Reitel, Mackenzie Crook, Tony Curran, Sonje Fortag, Cary Elwes, Phillip Rhys","Animation, Action, Adventure",Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,2011
4924,Byôsoku 5 senchimêtoru,Makoto Shinkai,"Kenji Mizuhashi, Yoshimi Kondou, Satomi Hanamura, Ayaka Onoue, Risa Mizuno, Yuka Terazaki, Yûko Nakamura, Masami Iwasaki, Rei Kondo, Hiroshi Shimozaki, Takahiro Hirano, Akira Nakagawa, Keiko Izeki, Suguru Inoue, Rion Kako","Animation, Drama, Romance","Told in three interconnected segments, we follow a young man named Takaki through his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love.",2007
4925,Machete,"Ethan Maniquis, Robert Rodriguez","Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal, Michelle Rodriguez, Jeff Fahey, Cheech Marin, Don Johnson, Shea Whigham, Lindsay Lohan, Daryl Sabara, Gilbert Trejo, Ara Celi, Tom Savini, Billy Blair","Action, Crime, Thriller","After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",2010
4926,Valkyrie,Bryan Singer,"Tom Cruise, Kenneth Branagh, Bill Nighy, Tom Wilkinson, Carice van Houten, Thomas Kretschmann, Terence Stamp, Eddie Izzard, Kevin McNally, Christian Berkel, Jamie Parker, David Bamber, Tom Hollander, David Schofield, Kenneth Cranham","Drama, History, Thriller","A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",2008
4927,Hunger,Steve McQueen,"Stuart Graham, Laine Megaw, Brian Milligan, Liam McMahon, Karen Hassan, Michael Fassbender, Frank McCusker, Lalor Roddy, Helen Madden, Des McAleer, Geoff Gatt, Rory Mullen, Ben Peel, Helena Bereen, Paddy Jenkins","Biography, Drama",Irish republican Bobby Sands leads the inmates of a Northern Irish prison in a hunger strike.,2008
4928,Surrogates,Jonathan Mostow,"Bruce Willis, Radha Mitchell, Rosamund Pike, Boris Kodjoe, James Francis Ginty, James Cromwell, Ving Rhames, Jack Noseworthy, Devin Ratray, Michael Cudlitz, Jeffrey De Serrano, Helena Mattsson, Michael Philip, Danny F Smith, Brian A. Parrish","Action, Crime, Sci-Fi","Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",2009
4929,Taare Zameen Par,"Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Sachet Engineer, Tanay Chheda, Lalitha Lajmi, Girija Oak, Ravi Khanvilkar, Pratima Kulkarni, Meghna Malik, Sonali Sachdev, Sanjay Dadich, Raaj Gopal Iyer, Bugs Bhargava","Drama, Family","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",2007
